"","YEAR","Jan","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"34",1984,11.2335517241379,10.604,11.3641034482759,11.9457931034483,18.3065862068966,26.212724137931,32.7843448275862,32.1314827586207,29.7421034482759,20.0098275862069,13.3982413793103,12.8249310344828
"35",1985,11.0562413793103,11.4635517241379,11.7625172413793,12.2550344827586,17.2467586206897,28.0327931034483,32.677275862069,32.3603103448276,29.8511034482759,19.6338620689655,14.0186896551724,13.4522068965517
"36",1986,11.2624137931034,11.3556896551724,10.6003448275862,11.9946206896552,16.081724137931,27.1935517241379,31.6175517241379,32.2525862068965,29.8414827586207,19.8101379310345,14.029724137931,12.7722413793103
"37",1987,11.1515172413793,12.1009310344828,10.6199655172414,12.1025862068966,16.6927931034483,30.5021034482759,34.5452413793103,33.9706206896552,30.1926206896552,20.1879655172414,13.8743103448276,12.8731034482759
"38",1988,11.9983103448276,12.1897931034483,10.6666206896552,12.8272413793103,18.3588965517241,27.1393103448276,32.7389310344828,32.3330689655172,31.5349655172414,20.1467586206896,14.0190344827586,13.5517931034483
"39",1989,10.8518620689655,11.9026206896552,10.6541379310345,12.1195172413793,17.1787931034483,26.0877931034483,32.6747931034483,31.1723103448276,29.9117586206897,19.9963793103448,14.1151379310345,12.8185172413793
"40",1990,12.2653793103448,11.7723448275862,10.1914482758621,12.015,16.8585172413793,27.7016206896552,31.7356896551724,32.4245862068966,29.9444827586207,19.9255862068965,14.0199310344828,12.8569310344828
"41",1991,11.0709310344828,12.2391724137931,10.986,11.959275862069,17.7940689655172,27.3997931034483,34.2530689655172,32.3592068965517,29.9909655172414,19.9774137931034,13.7558965517241,12.8083448275862
"42",1992,11.1298275862069,10.6613448275862,11.086275862069,12.2933103448276,16.537,27.4251034482759,33.4328275862069,32.3548275862069,29.8570344827586,20.0024482758621,14.4025172413793,12.8079310344828
"43",1993,11.7722068965517,12.2770344827586,10.0605172413793,11.4519310344828,17.1503448275862,28.0301034482759,34.0042068965517,32.7045517241379,29.6851034482759,20.3581724137931,14.0893793103448,12.942
"44",1994,12.0908275862069,11.4233103448276,11.4906896551724,11.3223448275862,18.2010689655172,27.4944482758621,32.8745862068966,32.354,29.9009310344828,19.9911379310345,13.9357586206897,12.8666551724138
"45",1995,10.7209310344828,11.7474827586207,10.5574482758621,12.0399310344828,18.7959655172414,29.0057586206897,32.8878620689655,32.2244482758621,29.8974827586207,20.732275862069,13.8854137931035,13.5412413793103
"46",1996,11.3229310344828,11.229724137931,11.4122068965517,12.0145517241379,18.0426206896552,27.4713793103448,32.6821379310345,32.3395172413793,29.8638620689655,19.9818620689655,14.199275862069,12.7324482758621
"47",1997,11.2478620689655,11.0246206896552,10.7402068965517,11.6418965517241,16.6536551724138,27.6643793103448,35.8005172413793,32.3701034482759,29.8469655172414,18.6710689655172,13.9806206896552,13.1445517241379
"48",1998,10.4889655172414,12.091275862069,10.1322413793103,12.3684827586207,17.794724137931,28.9626896551724,32.8522413793103,32.4187586206897,30.0294137931035,21.2128620689655,16.0865862068966,13.196724137931
"49",1999,11.1497586206897,12.7391724137931,11.4126896551724,13.711275862069,17.1481724137931,27.3730344827586,33.3421034482759,32.3908275862069,29.905275862069,20.1802413793103,15.4545862068966,13.6128275862069
"50",2000,12.1755517241379,11.5554827586207,10.7147586206897,12.9062068965517,17.1428275862069,26.4305862068966,32.8873793103448,32.47,29.9880689655172,21.3642068965517,15.7784482758621,13.6078620689655
"51",2001,11.4075172413793,12.1525862068966,10.7363103448276,11.9502068965517,17.1323793103448,25.437275862069,32.7777931034483,32.7161034482759,30.3361724137931,21.3413103448276,14.9732068965517,13.0514137931034
"52",2002,11.881275862069,11.9473793103448,11.4709310344828,12.4074482758621,18.0638965517241,27.4061034482759,36.2224827586207,32.386,29.9044827586207,20.0651034482759,14.0516206896552,12.9716551724138
